game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium
2023_19_CLE_HOU,2023,WC,19,2024-01-13,Saturday,16:30,CLE,14.0,HOU,45.0,Home,31.0,59.0,0.0,2024011300,59494.0,,202401130htx,,401547749,,6,7,-148.0,124.0,-2.5,-110.0,-110.0,45.0,-105.0,-115.0,0,closed,astroturf,,,00-0026158,00-0039163,Joe Flacco,C.J. Stroud,Kevin Stefanski,DeMeco Ryans,Clay Martin,HOU00,NRG Stadium
2023_19_MIA_KC,2023,WC,19,2024-01-13,Saturday,20:00,MIA,7.0,KC,26.0,Home,19.0,33.0,0.0,2024011301,59495.0,,202401130kan,,401547750,,6,6,190.0,-230.0,4.5,-102.0,-118.0,43.5,-118.0,-102.0,0,outdoors,grass,-4.0,19.0,00-0036212,00-0033873,Tua Tagovailoa,Patrick Mahomes,Mike McDaniel,Andy Reid,Brad Rogers,KAN00,GEHA Field at Arrowhead Stadium
2023_19_GB_DAL,2023,WC,19,2024-01-14,Sunday,16:30,GB,48.0,DAL,32.0,Home,-16.0,80.0,0.0,2024011401,59497.0,,202401140dal,,401547752,,7,7,275.0,-345.0,7.0,102.0,-122.0,52.5,-105.0,-115.0,0,closed,matrixturf,,,00-0036264,00-0033077,Jordan Love,Dak Prescott,Matt LaFleur,Mike McCarthy,Ron Torbert,DAL00,AT&T Stadium
2023_19_LA_DET,2023,WC,19,2024-01-14,Sunday,20:00,LA,23.0,DET,24.0,Home,1.0,47.0,0.0,2024011402,59498.0,,202401140det,,401547753,,7,7,136.0,-162.0,3.5,-122.0,102.0,52.5,-102.0,-118.0,0,dome,fieldturf,,,00-0026498,00-0033106,Matthew Stafford,Jared Goff,Sean McVay,Dan Campbell,Craig Wrolstad,DET00,Ford Field
2023_19_PIT_BUF,2023,WC,19,2024-01-15,Monday,16:30,PIT,17.0,BUF,31.0,Home,14.0,48.0,0.0,2024011501,59496.0,,202401150buf,,401547751,,9,8,370.0,-485.0,10.0,-108.0,-112.0,39.5,-115.0,-105.0,0,outdoors,a_turf,17.0,10.0,00-0034771,00-0034857,Mason Rudolph,Josh Allen,Mike Tomlin,Sean McDermott,Carl Cheffers,BUF00,New Era Field
2023_19_PHI_TB,2023,WC,19,2024-01-15,Monday,20:00,PHI,9.0,TB,32.0,Home,23.0,41.0,0.0,2024011500,59499.0,,202401150tam,,401547754,,8,8,-162.0,136.0,-2.5,-125.0,105.0,43.0,-102.0,-118.0,0,outdoors,grass,65.0,2.0,00-0036389,00-0034855,Jalen Hurts,Baker Mayfield,Nick Sirianni,Todd Bowles,Adrian Hill,TAM00,Raymond James Stadium
2023_20_HOU_BAL,2023,DIV,20,2024-01-20,Saturday,16:30,HOU,10.0,BAL,34.0,Home,24.0,44.0,0.0,2024012000,59500.0,,202401200rav,,401547755,,7,14,330.0,-425.0,10.0,-115.0,-105.0,44.0,-105.0,-115.0,0,outdoors,grass,27.0,16.0,00-0039163,00-0034796,C.J. Stroud,Lamar Jackson,DeMeco Ryans,John Harbaugh,John Hussey,BAL00,M&T Bank Stadium
2023_20_GB_SF,2023,DIV,20,2024-01-20,Saturday,20:15,GB,21.0,SF,24.0,Home,3.0,45.0,0.0,2024012001,59501.0,,202401200sfo,,401547756,,6,13,360.0,-470.0,10.5,-112.0,-108.0,50.5,-105.0,-115.0,0,outdoors,grass,59.0,8.0,00-0036264,00-0037834,Jordan Love,Brock Purdy,Matt LaFleur,Kyle Shanahan,Alex Kemp,SFO01,Levi's Stadium
2023_20_TB_DET,2023,DIV,20,2024-01-21,Sunday,15:00,TB,23.0,DET,31.0,Home,8.0,54.0,0.0,2024012100,59502.0,,202401210det,,401547757,,6,7,225.0,-278.0,6.0,-102.0,-118.0,49.5,-105.0,-115.0,0,dome,fieldturf,,,00-0034855,00-0033106,Baker Mayfield,Jared Goff,Todd Bowles,Dan Campbell,Bill Vinovich,DET00,Ford Field
2023_20_KC_BUF,2023,DIV,20,2024-01-21,Sunday,18:30,KC,27.0,BUF,24.0,Home,-3.0,51.0,0.0,2024012101,59503.0,,202401210buf,,401547758,,8,6,120.0,-142.0,2.5,-110.0,-110.0,45.5,-108.0,-112.0,0,outdoors,a_turf,25.0,11.0,00-0033873,00-0034857,Patrick Mahomes,Josh Allen,Andy Reid,Sean McDermott,Shawn Hochuli,BUF00,New Era Field
2023_21_KC_BAL,2023,CON,21,2024-01-28,Sunday,15:00,KC,17.0,BAL,10.0,Home,-7.0,27.0,0.0,2024012800,59504.0,,202401280rav,,401547379,,7,8,180.0,-218.0,4.5,-110.0,-112.0,44.0,-105.0,-115.0,0,outdoors,grass,47.0,7.0,00-0033873,00-0034796,Patrick Mahomes,Lamar Jackson,Andy Reid,John Harbaugh,Shawn Smith,BAL00,M&T Bank Stadium
2023_21_DET_SF,2023,CON,21,2024-01-28,Sunday,18:30,DET,31.0,SF,34.0,Home,3.0,65.0,0.0,2024012801,59505.0,,202401280sfo,,401547380,,7,8,260.0,-325.0,7.5,-120.0,100.0,52.5,-110.0,-110.0,0,outdoors,grass,69.0,5.0,00-0033106,00-0037834,Jared Goff,Brock Purdy,Dan Campbell,Kyle Shanahan,Clete Blakeman,SFO01,Levi's Stadium
2023_22_SF_KC,2023,SB,22,2024-02-11,Sunday,18:30,SF,22.0,KC,25.0,Neutral,3.0,47.0,1.0,2024021100,59506.0,,202402110kan,,401547378,,14,14,-120.0,100.0,-1.5,-110.0,-110.0,47.0,-110.0,-110.0,0,dome,grass,,,00-0037834,00-0033873,Brock Purdy,Patrick Mahomes,Kyle Shanahan,Andy Reid,Bill Vinovich,VEG00,Allegiant Stadium
